RIDDLE,WORD 1 (Adjective),WORD 2 (Noun)
A rude female monarch,Mean,Queen
An unhappy father,Sad,Dad
A large hog,Big,Pig
A chubby feline,Fat,Cat
A whimsical subterranean mammal,Droll,Mole
A soggy doggy,Wet,Pet
A male airborne bug,Guy,Fly
A luminous gleam,Bright,Light
A freezing puddle,Cool,Pool
A grumpy supervisor,Cross,Boss
A tiny move forward,Small,Crawl
A noisy group of people,Loud,Crowd
A bashful man,Shy,Guy
A clever dude,Sly,Guy
A thankful father,Glad,Dad
A frosty hunk of precious metal,Cold,Gold
A circular hill,Round,Mound
Presumptuous fungus,Bold,Mold
A dark footprint,Black,Track
A mean spirited quadruped,Cruel,Mule
A cardiologist’s graph,Heart,Chart
A fictional cobra,Fake,Snake
A slender sewing device,Thin,Pin
A too oft repeated story,Stale,Tale
A black recreation area,Dark,Park
An uncovered recliner,Bare,Chair
Outlandish facial hair,Weird,Beard
A boiling saucepan,Hot,Pot
A blunt cranium,Dull,Skull
An impolite guy,Rude,Dude
A pointed triangular string instrument,Sharp,Harp
A sugary root vegetable,Sweet,Beet
Ripped maize,Torn,Corn
A hurt pig,Sore,Boar
A calm blaze,Tame,Flame
An azure hint,Blue,Clue
A drawn out tune,Long,Song
A tidy road,Neat,Street
A feral kid,Wild,Child
A false pond,Fake,Lake
An excellent plank,Good,Wood
A sluggish rook,Slow,Crow
A dark chant,Grim,Hymn
A salmon colored refreshment,Pink,Drink
A courageous hand signal,Brave,Wave
A squashed mouse,Flat,Rat
A fast stunt,Quick,Trick
A weird span,Strange,Range
A pure legume,Clean,Bean
A contorted tepee,Bent,Tent
Profound rest,Deep,Sleep
Damp mesh,Wet,Net
A chilly crease,Cold,Fold
A tough cliff,Rough,Bluff
An honest hint,True,Clue
A tunnel for a subterranean mammal,Mole,Hole
A blanched mollusk,Pale,Snail
A blocked minstrel,Barred,Bard
Chapel Exploration,Church,Search
A hollowed Crusade,Blessed,Quest
